word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
orientales	9570	-8.5	0	0	473	123	0	0	0	10
nuestros	9567	-7.6	0	1	435	37	0	0	0	8
rasgos	9566	-7.46	2	3	1162	111	0	0	0	6
humor	9565	-5.98	4	5	556	75	0	0	0	5
intensidad	9565	-8.84	0	0	818	551	0	0	0	10
servir	9553	-6.6	2	2	1300	271	0	0	0	6
usualmente	9549	-9.19	0	0	177	28	0	0	0	10
dejado	9549	-5.34	2	3	1263	619	0	0	0	6
gana	9547	-4.52	24	29	571	120	0	0	0	4
mostrar	9545	-7.0	0	0	1238	238	0	0	0	7
introdujo	9544	-8.59	0	0	818	551	0	0	0	9
lectura	9530	-6.53	0	1	673	122	0	0	0	7
máquinas	9528	-7.99	0	1	1238	23	0	0	0	8
fracaso	9522	-8.06	2	3	756	119	0	0	0	7
university	9520	-11.85	0	0	177	55	0	0	0	10
desambiguación	9517	-12.3	0	0	1263	619	0	0	0	14
steve	9513	-7.51	0	2	1300	58	0	0	0	5
derrotar	9511	-7.59	0	1	1263	619	0	0	0	8
ninguno	9511	-9.28	2	2	435	49	0	0	0	7
rodrigo	9508	-8.32	0	0	1162	153	0	0	0	7
ojo	9508	-4.96	8	11	473	3	0	0	0	3
air	9508	-4.55	6	11	1894	15	0	0	0	3
consideró	9502	-8.56	0	0	2537	1146	0	0	0	9
candidatura	9501	-10.14	0	0	2537	550	0	0	0	11
bautista	9500	-8.36	0	1	691	202	0	0	0	8
miami	9497	-8.4	0	0	1238	160	0	0	0	5
rurales	9496	-7.59	2	2	1162	46	0	0	0	7
relato	9496	-6.35	4	5	1162	747	0	0	0	6
virrey	9494	-7.93	0	0	605	219	0	0	0	6
abre	9493	-5.19	4	7	1894	94	0	0	0	4
dichas	9493	-5.83	4	5	1263	352	0	0	0	6
específicamente	9482	-10.76	0	0	1421	411	0	0	0	15
interpretada	9477	-10.05	0	0	818	551	0	0	0	12
profesores	9475	-9.28	0	0	1810	579	0	0	0	10
escuadra	9473	-8.53	0	0	1421	411	0	0	0	8
estatua	9469	-7.92	2	4	1421	411	0	0	0	7
creador	9468	-6.92	2	4	2537	154	0	0	0	7
ideal	9466	-6.8	2	3	818	34	0	0	0	5
mercedes	9456	-8.09	0	0	1238	210	0	0	0	8
fuertemente	9456	-9.39	0	0	756	91	0	0	0	11
estima	9453	-6.19	2	5	1421	411	0	0	0	6
emplea	9453	-6.35	4	6	1421	119	0	0	0	6
cartagena	9452	-9.43	0	0	2537	550	0	0	0	9
cristianismo	9450	-11.87	0	0	2537	154	0	0	0	12
mecánica	9448	-9.22	0	0	1238	210	0	0	0	8
jiménez	9448	-10.55	2	2	246	8	0	0	0	7
norteamérica	9446	-12.72	0	0	435	116	0	0	0	12
vapor	9442	-6.6	2	2	605	110	0	0	0	5
habitualmente	9434	-10.13	0	0	556	150	0	0	0	13
puertos	9433	-6.59	8	9	1810	85	0	0	0	7
talleres	9432	-8.42	0	0	880	96	0	0	0	8
aviación	9430	-6.94	0	0	1894	33	0	0	0	8
hitler	9428	-9.14	0	0	556	82	0	0	0	6
zamora	9425	-8.51	0	0	41	13	0	0	0	6
asalto	9424	-7.07	0	3	1894	137	0	0	0	6
tomaron	9418	-7.73	2	2	880	118	0	0	0	7
clientes	9418	-6.97	0	1	2537	82	0	0	0	8
elegir	9418	-6.64	0	0	1421	100	0	0	0	6
caer	9417	-5.74	6	8	2537	550	0	0	0	4
europeas	9407	-9.59	0	1	1421	27	0	0	0	8
cualquiera	9402	-9.83	0	0	2537	160	0	0	0	10
yucatán	9402	-10.08	0	0	43	9	0	0	0	7
mejora	9400	-6.81	2	5	1238	210	0	0	0	6
cuadros	9386	-7.48	2	3	2537	160	0	0	0	7
singles	9384	-6.94	0	2	1300	174	0	0	0	7
trató	9382	-5.43	6	6	880	258	0	0	0	5
marino	9381	-6.1	8	11	1238	430	0	0	0	6
propietario	9379	-10.08	0	0	1810	579	0	0	0	11
confianza	9378	-8.96	0	0	2537	1146	0	0	0	9
alguno	9376	-8.01	2	3	1894	242	0	0	0	6
considerados	9371	-9.01	0	0	2537	1146	0	0	0	12
talento	9367	-6.82	0	1	880	96	0	0	0	7
nápoles	9367	-8.32	0	0	435	4	0	0	0	7
usados	9366	-5.9	2	3	177	28	0	0	0	6
cantar	9359	-5.54	8	9	2537	550	0	0	0	6
millón	9358	-6.21	2	2	1238	160	0	0	0	6
iban	9354	-5.79	2	5	818	15	0	0	0	4
brian	9351	-5.53	4	4	691	84	0	0	0	5
campus	9351	-7.05	2	2	2537	550	0	0	0	6
jurado	9344	-5.03	2	3	246	102	0	0	0	6
vientos	9342	-5.19	2	3	605	219	0	0	0	7
edward	9339	-7.93	2	3	1421	57	0	0	0	6
tensión	9339	-6.07	2	2	880	218	0	0	0	7
negó	9338	-5.77	0	0	435	88	0	0	0	4
lord	9336	-5.48	8	8	673	91	0	0	0	4
retirarse	9331	-9.28	0	0	1162	747	0	0	0	9
secretaría	9328	-9.79	0	0	1300	271	0	0	0	10
parecido	9323	-6.9	0	0	1810	362	0	0	0	8
