word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
compression	14735	-7.67	0	0	1993	876	0	0	0	11
sharks	14733	-5.85	4	5	2051	183	0	0	0	6
quarterly	14728	-8.54	0	0	88	79	0	0	0	9
predators	14724	-8.94	0	0	1506	440	0	0	0	9
timeline	14723	-9.42	0	0	953	62	0	0	0	8
partition	14722	-6.99	0	0	1506	291	0	0	0	9
explicit	14722	-7.93	0	0	905	212	0	0	0	8
interval	14721	-7.41	0	0	747	469	0	0	0	8
borrowed	14720	-8.05	0	0	1130	161	0	0	0	8
domains	14718	-7.45	0	1	1141	142	0	0	0	7
rushed	14717	-6.24	4	5	1209	63	0	0	0	6
rim	14714	-4.91	36	41	1209	87	0	0	0	3
fierce	14714	-6.66	2	2	845	151	0	0	0	6
tucker	14710	-7.18	0	0	953	57	0	0	0	6
wholly	14701	-5.85	0	1	537	53	0	0	0	6
wages	14700	-5.19	8	10	537	138	0	0	0	5
adaptations	14699	-10.04	0	0	1427	124	0	0	0	11
inheritance	14696	-10.93	0	0	747	469	0	0	0	11
irregular	14694	-11.27	0	0	747	24	0	0	0	9
toledo	14692	-8.97	0	0	953	133	0	0	0	6
motivated	14689	-7.69	0	0	1197	231	0	0	0	9
accepts	14689	-7.11	2	3	1427	133	0	0	0	7
corp	14689	-5.24	14	16	1993	876	0	0	0	4
posthumously	14688	-13.24	0	0	1506	199	0	0	0	12
additions	14685	-7.4	0	0	1427	124	0	0	0	9
rica	14683	-5.24	14	18	1209	87	0	0	0	4
ashes	14682	-5.22	2	2	1427	113	0	0	0	5
wines	14682	-4.82	20	22	537	123	0	0	0	5
boris	14682	-5.99	2	3	1130	161	0	0	0	5
fitzgerald	14677	-12.08	0	0	845	151	0	0	0	10
resolve	14669	-7.5	0	1	1209	698	0	0	0	7
antarctica	14667	-11.37	0	0	1427	165	0	0	0	10
pdf	14666	-5.62	4	6	1506	3	0	0	0	3
carson	14664	-6.32	4	6	1993	330	0	0	0	6
spectacular	14663	-11.39	0	0	2051	178	0	0	0	11
venus	14660	-6.74	4	5	353	81	0	0	0	5
realistic	14658	-8.31	0	0	1209	698	0	0	0	9
complained	14650	-7.45	0	0	1993	876	0	0	0	10
cycles	14644	-5.84	0	1	1993	20	0	0	0	6
coventry	14644	-7.25	0	0	1993	876	0	0	0	8
numbering	14641	-8.15	0	0	475	32	0	0	0	9
incorporating	14640	-11.73	0	0	747	469	0	0	0	13
reporters	14638	-7.68	0	0	1209	698	0	0	0	9
rican	14638	-5.56	0	1	1209	87	0	0	0	5
rbi	14635	-6.0	6	10	1209	3	0	0	0	3
vicar	14634	-5.75	0	0	353	128	0	0	0	5
advancement	14633	-9.55	0	0	1427	124	0	0	0	11
conrad	14632	-7.66	2	2	1993	876	0	0	0	6
pyramid	14631	-10.1	0	0	1506	3	0	0	0	7
ne	14630	-2.85	80	93	475	120	120	120	120	2
affecting	14627	-6.72	0	0	1427	41	0	0	0	9
coordinate	14626	-10.04	0	0	1993	876	0	0	0	10
wanting	14624	-6.32	2	2	537	138	0	0	0	7
