word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
space	759	-6.38	0	1	1798	60	0	0	0	5
queen	759	-6.63	0	1	35	22	0	0	0	5
tiada	759	-6.64	4	4	1272	108	0	0	0	5
acalolepta	758	-12.65	0	0	1084	27	0	0	0	10
perundingan	758	-9.19	0	0	2240	1205	0	0	0	11
pengungsi	758	-7.34	0	0	2240	1205	0	0	0	9
host	758	-5.91	10	13	574	85	0	0	0	4
maroko	758	-7.85	0	0	2321	439	0	0	0	6
warung	758	-6.01	8	9	311	122	0	0	0	6
eksklusif	757	-12.28	0	0	404	49	0	0	0	9
yakub	757	-7.78	0	0	137	40	0	0	0	5
batasan	757	-6.02	4	5	1627	341	0	0	0	7
konsisten	757	-8.88	0	0	1667	282	0	0	0	9
penglihatan	757	-9.64	0	0	2240	1205	0	0	0	11
lahirnya	756	-8.0	0	0	646	192	0	0	0	8
three	756	-7.33	0	1	1272	59	0	0	0	5
proklamasi	755	-9.23	0	0	2240	197	0	0	0	10
demonstrasi	755	-10.31	0	0	1545	179	0	0	0	11
cia	755	-3.75	30	35	699	70	0	0	0	3
tmesisternus	755	-14.26	0	0	1272	2	0	0	0	12
hiasan	755	-6.52	2	3	574	90	0	0	0	6
agus	755	-5.16	4	6	1084	37	0	0	0	4
resimen	754	-7.37	2	2	707	219	0	0	0	7
ikon	754	-5.59	6	7	443	14	0	0	0	4
detail	754	-7.83	2	2	1545	179	0	0	0	6
like	754	-6.04	16	17	646	123	0	0	0	4
andalan	754	-6.56	4	4	1084	197	0	0	0	7
inovasi	754	-7.32	0	1	443	187	0	0	0	7
perintis	754	-7.08	0	0	2240	1205	0	0	0	8
barunya	753	-6.3	0	0	1627	341	0	0	0	7
sedikitnya	753	-9.0	0	0	1798	509	0	0	0	10
libur	753	-5.95	2	2	646	123	0	0	0	5
analog	752	-7.66	0	1	1084	197	0	0	0	6
siak	752	-5.27	16	17	1798	232	0	0	0	4
saran	752	-4.29	8	12	1798	287	0	0	0	5
carlos	752	-8.03	0	1	699	157	0	0	0	6
kekacauan	752	-10.33	0	0	1667	655	0	0	0	9
usai	751	-5.63	4	6	234	25	0	0	0	4
isyarat	751	-9.05	0	1	443	48	0	0	0	7
quran	751	-5.57	0	1	35	22	0	0	0	5
pius	751	-5.25	4	6	2240	94	0	0	0	4
dapur	750	-5.96	2	3	1545	140	0	0	0	5
